accuracy	time_pred	time_learn	time_learn2	time_learn4	alpha	acc_mcmc_this	acc_mcmc_all	acc_mcmc_all_but5	ll_mcmc_this	ll_mcmc_all	ll_mcmc_all_but5	wmu[0]	wlambda[0]	vmu[0,0]	vlambda[0,0]	vmu[0,1]	vlambda[0,1]	vmu[0,2]	vlambda[0,2]	vmu[0,3]	vlambda[0,3]	vmu[0,4]	vlambda[0,4]	vmu[0,5]	vlambda[0,5]	vmu[0,6]	vlambda[0,6]	vmu[0,7]	vlambda[0,7]
0.842486	nan	0.02	0.017116	0	0.964901	0.821844	0.842486	0.840225	0.401231	0.347808	0.347429	-0.0382074	9.57197	-0.044448	15.1154	0.00772245	16.6927	0.0376061	13.3464	0.0614339	22.4901	0.0151689	15.7809	0.0429236	15.3951	-0.0142723	19.0396	-0.0598629	16.2543
0.842874	nan	0.016	0.017148	0	0.983434	0.822296	0.842874	0.840774	0.400756	0.347307	0.346948	-0.0133104	8.32358	-0.10104	11.3156	-0.00263682	16.6717	-0.0120557	9.86152	0.0193174	15.2556	0.0159676	17.7079	-0.00421969	14.659	-0.0648327	20.7822	-0.0110629	16.9531
0.84268	nan	0.016	0.016916	0	0.961683	0.826366	0.84268	0.840968	0.389377	0.346636	0.346213	-0.024581	8.56506	-0.0750363	11.4435	-0.0178128	17.3043	-0.0126136	11.6123	0.0238633	18.8701	-0.00955579	25.9709	0.0406972	15.2821	-0.0202623	18.0198	-0.00609891	15.0806
0.84226	nan	0.02	0.016812	0	1.00911	0.826786	0.84226	0.840548	0.391603	0.346102	0.345716	-0.00702335	6.67028	-0.0499079	11.0047	0.0134231	16.4225	0.0527586	12.7576	0.0314797	18.607	-0.00492971	22.4293	0.0323661	11.2028	-0.0139108	20.942	0.0193933	13.8313
0.842228	nan	0.016	0.016812	0	0.936118	0.825656	0.842228	0.840548	0.401484	0.345516	0.345091	-0.0163831	7.09772	-0.0122351	13.8814	0.0346765	16.0287	0.0670722	15.3282	0.0677531	20.1452	-0.00567214	18.5811	-0.0183411	11.472	-0.00743936	21.0474	0.0279603	17.9313
0.841969	nan	0.016	0.016832	0	1.01991	0.828886	0.841969	0.840774	0.395382	0.344921	0.344476	-0.037921	7.41786	-0.0821002	12.4797	0.0141757	13.8781	0.0524821	13.3469	0.0493696	18.4678	-0.0297438	17.6726	-0.0248298	13.2246	0.0339015	16.6674	0.00545776	14.2541
0.842938	nan	0.016	0.01681	0	0.954231	0.822296	0.842938	0.840742	0.411209	0.34447	0.344055	0.0292808	6.89094	-0.0761214	11.6536	0.0332188	14.7063	0.0330892	10.0079	0.0338096	16.8144	-0.0235859	14.3494	0.00824058	18.1707	-0.012126	17.3713	0.00940641	16.6059
0.843423	nan	0.016	0.016869	0	0.922843	0.824041	0.843423	0.841032	0.415138	0.344104	0.34381	0.00953556	8.37361	-0.0612959	10.7534	0.0250293	13.0335	-0.020902	8.37151	0.00923043	18.1025	-0.0321103	17.5076	-0.0153845	19.7307	-0.0486345	18.2829	-0.0484141	14.9721
0.842777	nan	0.016	0.016893	0	0.970368	0.81997	0.842777	0.841291	0.421154	0.344006	0.343862	-0.00268733	7.9923	-0.047104	9.26629	-0.00381749	16.535	-0.026128	7.86884	0.0598807	14.027	-0.00334279	17.7196	-0.0143212	17.0015	-0.0166219	17.4686	-0.0805309	22.9308
0.842648	nan	0.016	0.016864	0	1.04299	0.819583	0.842648	0.841711	0.426084	0.343908	0.343888	0.000137375	9.40418	-0.11078	9.61371	0.0385532	13.1887	0.0596222	6.53233	0.0155985	11.8793	-0.0022325	16.7523	-0.00387566	16.6854	-0.0256232	11.4385	-0.0647969	19.9008
0.842583	nan	0.016	0.016842	0	0.926881	0.814511	0.842583	0.841582	0.434951	0.343879	0.343979	0.0165057	9.06027	-0.0315659	7.59321	-0.0166849	14.1999	-0.0165871	5.86401	0.0163366	14.6769	0.0031921	12.8014	0.0317174	15.6309	-0.01698	14.1954	-0.0266737	19.8178
0.841937	nan	0.02	0.016938	0	0.980609	0.818452	0.841937	0.841355	0.426121	0.34372	0.343909	0.0265972	7.37074	0.00449649	5.16419	-0.0366461	11.1079	-0.0507643	7.67848	0.0131788	15.8735	-0.0165409	16.3541	0.0108317	14.0478	-0.0541509	14.0515	-0.00473322	26.0755
0.841969	nan	0.016	0.016937	0	1.00258	0.81225	0.841969	0.840871	0.430759	0.343662	0.343895	0.0477694	7.9182	-0.0194527	6.0107	-0.0516509	12.9567	-0.0252943	6.4443	-0.00347492	14.699	-0.111761	18.2651	0.0060683	12.5549	-0.0615744	12.8379	-0.0144414	22.0805
0.841937	nan	0.016	0.016742	0	1.02177	0.809472	0.841937	0.841	0.431351	0.343634	0.343886	0.0254876	6.42455	-0.0474511	9.24736	-0.0327114	9.66384	-0.100688	8.16055	0.0118696	15.4563	-0.0680984	13.8629	0.0530222	13.1801	-0.0479001	17.5576	0.0267244	20.8941
0.841743	nan	0.02	0.016734	0	0.957308	0.80763	0.841743	0.840774	0.431507	0.343795	0.344162	-0.0188624	5.87058	-0.1004	8.41168	0.00767677	12.6534	-0.101875	7.04607	0.0808016	14.0545	-0.00947511	17.1663	0.0124057	13.5039	-0.0556617	19.944	0.0367142	19.6964
0.841872	nan	0.016	0.016662	0	0.989378	0.817547	0.841872	0.840386	0.433526	0.343832	0.34426	-0.0143212	8.00905	-0.123355	8.82104	0.0327407	12.8533	-0.0347761	7.30712	0.0880627	12.7271	-0.00880649	14.6049	0.0433836	13.6504	-0.0427229	18.9892	0.0248773	20.6271
0.842163	nan	0.016	0.016725	0	1.08877	0.815092	0.842163	0.840709	0.440659	0.343826	0.344263	-0.151222	7.93695	-0.0161993	8.7169	-0.00221513	15.0515	0.0365281	6.72249	0.0902148	14.6404	-0.0506715	11.1541	0.0447909	15.1756	-0.0568821	16.0034	0.035568	16.477
0.841582	nan	0.02	0.016585	0	1.04153	0.821553	0.841582	0.840742	0.440493	0.343747	0.344241	-0.108697	7.17272	-0.0542213	7.36304	0.0294871	14.3017	-0.0235603	8.71067	0.0862538	19.2274	-0.0575786	9.81811	0.0141037	14.1384	-0.0287077	12.6123	-0.00103637	18.7265
0.842002	nan	0.016	0.01655	0	0.980043	0.822102	0.842002	0.84058	0.438402	0.343671	0.344227	-0.0331631	5.5102	-0.0606348	6.16671	-0.0186845	19.9461	-0.0557717	9.45072	0.0723779	19.1398	-0.0549952	14.2818	-0.0307399	17.8562	-0.0177501	15.5563	0.0160836	14.2644
0.842098	nan	0.016	0.016591	0	0.987163	0.821166	0.842098	0.840774	0.430648	0.34361	0.344229	-0.0455224	6.95405	-0.0332429	6.11105	-0.0173031	16.9292	-0.0452189	9.18024	0.0771916	14.8826	-0.0398298	12.3205	0.000553845	10.9811	-0.0506458	13.9351	-0.015007	18.1262
0.842583	nan	0.02	0.016703	0	0.98877	0.824041	0.842583	0.841194	0.441204	0.343511	0.344205	-0.0278642	6.40971	-0.0613479	9.29262	0.0295087	17.1213	-0.0344309	8.8141	0.0495706	16.3673	-0.0184685	9.95258	0.0275071	11.8802	-0.00890781	12.4485	-0.00329394	17.8101
0.842583	nan	0.016	0.016637	0	1.09193	0.817031	0.842583	0.841259	0.451873	0.343559	0.344348	-0.0128624	7.14387	-0.0617632	6.73594	0.0169666	17.0449	0.0205219	7.9763	0.0474538	17.2046	-0.0256105	13.8389	0.0341286	12.352	-0.052308	12.7394	0.0305223	14.6031
0.842034	nan	0.016	0.016713	0	0.977026	0.813703	0.842034	0.841032	0.470345	0.343732	0.344622	-0.0167658	7.59153	-0.0668785	8.21892	0.0116385	16.5251	0.00983421	8.93119	0.0562073	21.1476	-0.0725406	13.244	0.0451691	13.4609	-0.028805	14.631	0.00796342	16.7417
0.842002	nan	0.02	0.016648	0	0.996304	0.81422	0.842002	0.840839	0.479099	0.343899	0.344919	0.0218108	9.02241	-0.00106965	7.42538	-0.00142853	18.7625	-0.0312291	7.49695	0.0364495	21.7412	-0.0465254	11.6028	0.0100342	12.4686	-0.0950058	10.5625	0.0307497	17.9645
0.842066	nan	0.016	0.016624	0	0.973194	0.813251	0.842066	0.840612	0.47119	0.344096	0.345202	-0.0290296	8.10762	0.0249429	7.28582	-0.0361906	15.3838	-0.0430306	10.0421	0.0457545	20.4864	-0.0683607	10.7743	-0.0243479	11.0855	-0.037306	12.1809	0.001174	17.8894
0.841614	nan	0.016	0.016719	0	0.966466	0.811377	0.841614	0.840871	0.458076	0.344135	0.345276	0.0159075	5.58848	-0.0368682	7.39238	-0.00965485	10.8865	-0.0313923	7.42162	0.0320912	20.7232	-0.0324749	13.0189	0.043859	9.76259	-0.00554612	10.5475	0.0210953	14.9415
0.841743	nan	0.02	0.016604	0	1.07572	0.810667	0.841743	0.840968	0.475601	0.344265	0.345455	0.00717355	7.71032	0.0444054	7.25779	0.0189466	12.9347	-0.0398272	6.902	0.110088	17.1793	-0.0530495	11.8341	-0.0175587	11.0928	-0.0219822	9.53282	0.0499893	10.6841
0.841388	nan	0.016	0.016769	1	0.951694	0.815448	0.841388	0.840645	0.473274	0.34437	0.345615	-0.0534666	7.57959	-0.049442	8.84382	-0.00454565	10.3303	-0.0209749	7.12106	0.145325	15.9244	0.00439764	10.6478	0.000119448	11.8693	-0.073167	10.8969	-0.00515138	12.5637
0.841194	nan	0.016	0.016839	0	0.899474	0.810602	0.841194	0.840257	0.46183	0.34434	0.34562	0.00354663	8.17864	-0.0328446	7.97755	0.0556784	9.85575	-0.0416831	6.96326	0.0614458	14.3654	-0.00940173	13.0191	0.0512053	9.77077	-0.0402658	9.86854	-0.0029512	12.5564
0.84142	nan	0.016	0.016897	0	1.01505	0.816675	0.84142	0.839966	0.460104	0.344267	0.345562	-0.031074	8.54715	-0.0534911	7.60069	0.000654516	9.83237	-0.0515065	8.43111	0.0748114	16.3679	-0.0103261	14.2521	-0.0328136	9.17211	-0.0398184	7.75774	0.0873232	13.8891
0.841032	nan	0.016	0.01707	0	0.998273	0.813929	0.841032	0.839643	0.464078	0.344259	0.345571	-0.028519	9.92194	-0.0495229	9.62762	-0.0245607	11.8188	-0.139203	6.37163	0.07973	15.7075	0.0312507	13.0948	0.0448217	8.50817	-0.0701425	8.24371	0.076951	16.2217
0.840839	nan	0.016	0.017082	0	0.920273	0.821779	0.840839	0.839902	0.442309	0.344197	0.34552	-0.0767013	7.48892	0.00434922	10.7172	-0.0440684	11.8743	-0.0883662	6.5662	0.0643617	13.8261	0.00731251	11.0822	0.00566323	8.07446	-0.0227481	10.155	0.0348815	18.1276
0.840871	nan	0.016	0.016825	0	0.984247	0.816708	0.840871	0.839966	0.457726	0.344202	0.345546	-0.0952833	9.47023	-0.0309336	12.1104	-0.0186423	14.97	-0.0821076	9.07911	0.104783	15.8641	-0.0130054	15.7439	0.0446034	7.02494	0.0112843	10.6912	0.0981285	26.4306
0.841097	nan	0.016	0.016849	0	0.926271	0.816869	0.841097	0.84016	0.455127	0.344235	0.345598	-0.0791969	9.35948	-0.0115546	12.4122	-0.000710935	17.6489	-0.0654898	8.26664	0.113101	18.8974	-0.0616526	15.3051	0.0650381	6.38298	0.0587488	12.5592	0.0736739	19.3986
0.841097	nan	0.016	0.016871	0	1.08692	0.818904	0.841097	0.840128	0.446583	0.344256	0.345655	-0.0636604	9.55211	-0.015128	12.8287	-0.00669728	14.0376	-0.0404609	7.80165	0.0738154	14.0931	-0.00725728	14.5176	0.0917863	6.91977	0.0203431	12.8951	0.0183625	21.9636
0.84058	nan	0.016	0.016878	0	0.969082	0.815997	0.84058	0.839869	0.453442	0.344277	0.345702	-0.0513942	7.1658	-0.0536952	12.4701	0.00163469	10.9799	-0.0274497	7.96199	0.0826834	10.4092	-0.0552793	12.4098	0.0182614	7.8833	0.0195401	21.364	0.00778788	17.7713
0.841226	nan	0.016	0.016855	0	0.991779	0.81716	0.841226	0.840128	0.448735	0.344381	0.345834	-0.0602202	8.08129	-0.0906605	9.66637	-0.049925	10.6183	-0.0301157	10.9456	0.0578174	11.6003	-0.029319	12.4629	0.111656	8.32421	0.00843752	19.3828	-0.0435534	16.5702
0.840806	nan	0.02	0.0169	0	1.01953	0.81183	0.840806	0.840096	0.455329	0.344453	0.345906	-0.0698368	8.64507	0.0205124	10.6607	-0.0368585	10.6741	0.0372426	11.1022	0.0481035	12.3519	-0.0262146	15.7296	0.0521337	9.23319	-0.0190623	19.9944	-0.0134532	14.4738
0.840871	nan	0.016	0.016835	0	0.960853	0.811313	0.840871	0.840128	0.453387	0.344456	0.345875	-0.0503031	8.33286	-0.0328773	13.0975	-0.0171151	10.1818	-0.0644729	10.2261	0.0461926	13.9949	-0.00437836	14.7464	0.0973654	10.8811	-0.00132247	21.8953	-0.0320986	14.1495
0.840612	nan	0.016	0.016782	0	1.07223	0.812573	0.840612	0.840193	0.442755	0.344479	0.345888	-0.00832389	8.50598	-0.0459315	14.2015	-0.0263068	13.2299	-0.0699869	9.59497	0.0645828	14.3867	-0.0121625	15.5516	0.0567582	13.1937	-0.00995268	18.6206	-0.0413574	12.5767
0.840903	nan	0.02	0.01686	0	1.09039	0.815092	0.840903	0.839934	0.437079	0.344414	0.345775	-0.022527	7.64244	-0.0229125	12.3656	0.00883639	11.4874	-0.00617741	12.2226	0.0559558	15.3682	-0.0350188	17.1277	0.0906252	10.6467	0.0160881	16.6047	-0.0641068	10.8456
0.840903	nan	0.016	0.016829	0	1.01051	0.819486	0.840903	0.839805	0.430604	0.344309	0.34562	-0.0223652	8.40378	0.0337273	13.6904	-0.0707611	10.7218	0.00333603	10.8146	0.1554	13.1388	-0.0713068	14.9753	0.122011	9.83257	0.00784002	21.5482	-0.0500287	14.5142
0.840612	nan	0.016	0.016778	0	0.968308	0.82123	0.840612	0.839869	0.431632	0.344229	0.345518	-0.00994393	10.26	-0.00203325	10.3028	-0.0664103	7.58953	-0.0254626	11.7557	0.145002	11.8457	-0.0829017	15.3463	0.0976843	14.2352	0.0385305	18.218	-0.0145681	12.4622
0.840742	nan	0.016	0.016749	0	1.00444	0.818387	0.840742	0.83974	0.448531	0.344168	0.345428	-0.0265203	9.70059	-0.0622925	9.97533	-0.100475	7.66047	-0.0696262	8.61609	0.136155	10.6569	-0.0594062	11.2535	0.118503	12.4172	0.0383338	14.9033	-0.00771043	13.0813
0.840742	nan	0.016	0.016707	0	1.01065	0.818064	0.840742	0.839902	0.433169	0.344074	0.345302	-0.0900546	8.72909	-0.149552	9.05614	-0.0564052	6.42893	0.00148757	7.85825	0.148623	10.5597	-0.0689477	11.7939	0.115013	11.4696	0.00103657	13.5673	-0.0307579	13.0446
0.840774	nan	0.016	0.016648	0	1.00014	0.819324	0.840774	0.839611	0.442538	0.344062	0.345293	-0.057604	8.33587	-0.0615715	7.92678	-0.0910672	7.51298	-0.0442405	8.91433	0.159191	8.44289	-0.0142665	11.8272	0.0808612	9.58274	0.00656168	13.1272	0.0154609	15.8389
0.840742	nan	0.016	0.016629	0	0.933046	0.817192	0.840742	0.839159	0.441682	0.344044	0.345284	-0.0611332	8.98548	-0.0675413	8.95658	-0.100364	9.81527	0.0139492	10.0948	0.231944	10.2753	-0.0030659	13.1388	0.0578846	9.88994	-0.0508643	12.0041	0.00434452	12.8078
0.840806	nan	0.016	0.0166	0	0.981494	0.817806	0.840806	0.839353	0.449223	0.343978	0.345208	-0.0116936	6.97051	-0.0319906	10.1058	-0.0965096	7.72483	0.0459309	9.42252	0.207309	11.8033	0.0131647	9.89222	0.00228071	10.5324	0.0067208	10.2923	0.0325147	14.6257
0.840871	nan	0.016	0.016593	0	0.988392	0.818775	0.840871	0.839902	0.454285	0.344018	0.345264	0.0214874	5.38	-0.0380203	9.23702	-0.0431781	8.25978	-0.0137887	8.39672	0.189784	15.9565	-0.0164652	10.5097	-0.0362241	9.83156	0.0204342	9.10407	0.00908596	13.5716
0.840871	nan	0.016	0.016593	0	0.968199	0.816288	0.840871	0.840257	0.446017	0.344038	0.345285	0.00697986	5.44675	-0.0841078	9.59002	-0.0784557	7.01352	-0.013038	10.8959	0.148051	16.9761	-0.0158851	8.61602	0.0093419	11.1844	-0.0293297	9.57195	-0.0156708	14.4729
0.840839	nan	0.016	0.016642	0	1.0117	0.819453	0.840839	0.840128	0.446061	0.344088	0.345342	-0.0446612	6.23955	-0.0592725	11.6794	-0.0483081	6.8876	-0.0239264	9.7757	0.111375	14.1314	-0.0387354	10.1447	-0.0371386	9.35798	-0.125144	10.5013	-0.0088635	13.2531
0.840936	nan	0.02	0.016612	0	0.959818	0.818194	0.840936	0.840225	0.446972	0.344031	0.345266	-0.0277402	9.32109	-0.0474574	12.1184	-0.0505745	7.96315	0.06879	9.12509	0.106745	16.0328	-0.0646536	9.95495	0.00999661	8.91488	-0.056254	11.6886	0.000842621	14.4349
0.840612	nan	0.016	0.016979	0	0.945633	0.81674	0.840612	0.840289	0.455853	0.344099	0.345351	-0.00586812	9.48709	-0.0292511	12.4918	-0.0730136	6.79334	0.0972412	8.78318	0.0733729	16.0686	0.0142179	8.30428	0.00995882	9.09107	-0.0504751	11.8788	-0.0101193	11.4361
0.840936	nan	0.016	0.016718	0	1.00914	0.82417	0.840936	0.840419	0.439319	0.344026	0.345272	-0.0280196	10.1271	-0.0212548	12.2835	-0.0752712	8.52546	0.0530211	9.58776	0.0729486	13.247	0.00644482	8.75803	-0.040791	7.5788	-0.0190023	17.0447	-0.0347985	10.7211
0.840871	nan	0.02	0.016592	0	0.892141	0.821747	0.840871	0.840322	0.458017	0.344021	0.345261	-0.00724062	10.5396	0.0102918	12.4438	-0.0793681	7.99074	0.0754832	8.92452	0.10031	16.1986	-0.00960354	9.41926	-0.0528437	9.92245	0.00989825	15.4781	-0.0664645	12.3947
0.840936	nan	0.016	0.016591	0	0.996963	0.818614	0.840936	0.840419	0.457979	0.34409	0.345347	-0.0448352	9.02682	0.0145719	16.4643	-0.052921	7.90789	-0.0280448	12.2814	0.125243	15.7055	0.0621304	11.7517	-0.062548	9.37038	-0.00774768	17.4651	-0.012567	9.38009
0.841323	nan	0.016	0.016582	0	0.882299	0.821069	0.841323	0.840936	0.45056	0.344098	0.345365	-0.055003	8.91503	0.00244287	19.0867	-0.0807161	7.4459	-0.0203051	14.9557	0.123835	19.46	0.055381	13.3939	0.0104776	8.24104	-0.0299427	13.7651	-0.0359143	9.33517
0.841743	nan	0.02	0.016748	0	0.966273	0.817709	0.841743	0.841162	0.470196	0.344165	0.345448	-0.0320524	7.72727	0.000515269	16.8769	-0.148983	9.31184	-0.0267113	14.8695	0.098392	21.1074	0.0714957	10.6805	-0.0217252	9.12711	-0.0434775	13.6396	-0.10528	10.0177
0.841323	nan	0.016	0.016817	0	0.885427	0.813154	0.841323	0.840839	0.491706	0.344261	0.345561	-0.13259	4.99683	-0.0249385	23.0566	-0.121099	7.33999	0.0155179	14.6062	0.127616	15.1007	0.015705	10.7378	0.0310167	7.57595	-0.0424095	12.0844	0.00117932	8.46364
0.84142	nan	0.016	0.016994	0	0.919086	0.813445	0.84142	0.841032	0.478627	0.344326	0.34564	-0.120184	6.35846	0.0112065	17.7614	-0.129167	6.99554	0.00154538	14.8222	0.120112	15.6348	0.0276043	11.2586	0.0543433	10.3405	-0.0427346	11.5755	-0.0661922	9.96763
0.841097	nan	0.016	0.017033	0	0.931654	0.817677	0.841097	0.840742	0.47327	0.3444	0.34573	-0.144861	5.98973	-0.0107077	18.1088	-0.0884265	7.18272	0.0736467	15.1618	0.123802	14.9454	-0.0312147	10.8207	0.00463977	9.13984	-0.0153697	15.1884	-0.000110784	7.68341
0.841452	nan	0.016	0.016817	0	0.948552	0.818355	0.841452	0.840936	0.466853	0.344463	0.345802	-0.128341	6.46264	-0.0225438	18.7664	-0.0772461	8.1735	0.0208932	15.4763	0.185298	14.3369	-0.016942	9.10389	-0.00303807	13.3987	-0.00270662	14.0611	0.00476724	8.41248
0.841032	nan	0.016	0.016766	0	0.925064	0.817515	0.841032	0.840806	0.459477	0.34445	0.34578	-0.0478237	5.53137	-0.0069807	23.7771	-0.0195578	9.44146	0.0398184	14.1803	0.194995	11.5708	-0.0250624	12.8193	0.0166386	11.1336	-0.0489574	13.235	0.0343858	11.2513
0.840774	nan	0.016	0.016781	0	1.01173	0.815738	0.840774	0.840612	0.453771	0.344413	0.345731	-0.047274	8.92008	-0.0187448	22.7258	-0.0147549	7.24107	0.0471521	10.8272	0.13333	11.1442	-0.00239037	12.8013	0.0292705	11.1075	-0.0738935	13.8083	0.0315006	12.6487
0.841	nan	0.016	0.016782	0	0.992397	0.820067	0.841	0.840645	0.444016	0.344349	0.345658	-0.0650002	6.88847	-0.0170844	17.543	-0.0766001	7.69244	-0.0234357	11.3279	0.0901714	13.373	0.0182947	14.8626	-0.0150909	12.1235	-0.0475691	15.2565	0.0262616	9.69127
0.840774	nan	0.02	0.016757	0	1.00675	0.820067	0.840774	0.840193	0.45672	0.344323	0.345626	-0.114844	6.67105	-0.00168214	15.8263	-0.0977673	7.68705	-0.015332	10.3162	0.120334	15.3033	0.0383258	17.853	-0.0262476	17.2523	-0.0563211	14.6369	0.036839	7.37131
0.840645	nan	0.016	0.016737	0	0.986364	0.815222	0.840645	0.840096	0.471378	0.344298	0.345591	-0.0880881	5.24522	0.0125158	10.8021	-0.0197185	6.58608	0.0264619	10.9468	0.138923	13.6468	-0.0303582	15.3525	0.0142918	18.5088	-0.0217913	13.489	-0.00027646	8.96071
0.841	nan	0.016	0.016579	0	0.957617	0.815383	0.841	0.840128	0.45394	0.344253	0.345531	-0.112788	6.97195	0.0228189	11.8155	-0.00372002	7.62426	0.0725409	11.7948	0.0818908	12.0271	-0.0243682	14.4078	-0.0158318	13.1628	-0.0318735	13.728	-0.00688223	7.4203
